,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
22826,Facebook,Belgium,Western Europe,Western Europe,35-39,37.0,Male,Developer; Programmer; Sr. Developer,Embedded application developer,Embedded application developer,11+ years,13.0,"$90,000 - $100,000",95000.0,4.25,C++; Python; SQL,C++; C#; Go; SQL; Windows Phone,No,8.0,Employed full-time,Manufacturing,"5,000-9,999 employees",5-9 people,1,I rarely work remotely,I love my job,Contacted by external recruiter,Notepad++; PyCharm; Visual Studio,Multiple times a day,None,Cats,Windows 7,Yes,I don't have an account,Once a week,I want to be a better developer,Masters Degree in Computer Science (or related field),I am not interested in new job opportunities,Work/life balance; Quality of colleagues; Building something that's significant,Writing cover letters,40%,Introduce me to the team; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Trek,Agree completely,Agree completely,Agree completely,Neutral,Agree completely,Disagree completely,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,Fragile code base; Interacting with stupid people; Changing requirements,To get help for my job; Beacause I love to learn
22988,Facebook,Belgium,Western Europe,Western Europe,25-29,27.0,Male,Developer; Programmer; Full-stack Developer,Back-end web developer,Back-end web developer,6 - 10 years,8.0,"$20,000 - $30,000",25000.0,4.25,PHP,Objective-C; Perl; Python; Swift,No,7.0,Employed full-time,Media / Advertising,20-99 employees,5-9 people,1,Never,I'm somewhat dissatisfied with my job,A friend referred me,Sublime; PhpStorm,Multiple times a day,5-10 hours per week,Dogs,Mac OS X,Yes,101 - 500,Once a week,I'm curious,I'm self-taught; On-the-job training,I am actively looking for a new job,Ability to make or influence important decisions; Health insurance; Work/life balance; Opportunity for advancement; Quality of colleagues; Company culture; Building something that's significant; Flexible work hours,Taking time off work to interview,20%,Be more flexible about interview scheduling; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars,Agree completely,Agree completely,Agree completely,Agree completely,Neutral,Disagree somewhat,Neutral,Agree somewhat,Agree somewhat,Disagree completely,This is very important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,Fragile code base; Corporate policies; Changing requirements,To get help for my job; To receive help on my personal projects; Beacause I love to learn
23745,Facebook,Belgium,Western Europe,Western Europe,25-29,27.0,Male,Developer; Engineer; Programmer; Rockstar; Ninja,Enterprise level services developer,Enterprise level services developer,2 - 5 years,3.5,"$10,000 - $20,000",15000.0,4.25,AngularJS; Java; JavaScript; MongoDB; SQL,Android; Hadoop; MongoDB; Node.js,Yes,6.0,Employed full-time,Software Products,20-99 employees,5-9 people,2,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by external recruiter,Notepad++; Vim; Eclipse,Once a day,1-2 hours per week,Other (please specify),Windows 7,Other (please specify),2 - 100,Multiple times a day,I'm curious,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field); B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Quality of colleagues; Flexible work hours; Building something that's innovative,Writing cover letters,80%,Show me more live code; Fewer brainteasers,Star Wars; Star Trek,Neutral,Agree completely,Agree completely,Agree completely,Neutral,Neutral,Neutral,Agree completely,Agree completely,Agree somewhat,I don't care about this,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,Poor documentation; Outdated technologies; Non-technical management; Interacting with non-technical people; Interacting with stupid people; Unspecific requirements; Trying to be nice,To get help for my job; Because I can't do my job without it; To receive help on my personal projects; Beacause I love to learn
24062,Facebook,Belgium,Western Europe,Western Europe,25-29,27.0,Male,Programmer,Student,Student,1 - 2 years,1.5,Rather not say,,4.25,C#; JavaScript; SQL; SQL Server,C#; JavaScript; LAMP; PHP; SQL; SQL Server,Yes,4.0,I'm a student,,,,,,,,Notepad++; Visual Studio,A few times a month,1-2 hours per week,Dogs,Windows 10,I don't know,2 - 100,Once a month,To keep my skills up to date,I'm self-taught; Part-time program (e.g. night school),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Quality of colleagues; Remote working option; Flexible work hours,Writing my CV and keeping it updated,10%,Introduce me to the boss,Star Wars,Neutral,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Disagree completely,Agree somewhat,Neutral,Agree somewhat,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,Trying to be nice,Beacause I love to learn
24233,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Developer; Programmer; Ninja,Student,Student,2 - 5 years,3.5,Unemployed,,4.25,C; C#; Java; JavaScript; PHP; SQL,C#; JavaScript,Yes,7.0,I'm a student,,,,,,,,Sublime; Eclipse; PhpStorm; Visual Studio,Multiple times a day,None,Cats,Windows 7,Yes,I don't have an account,Once a day,I want to be a better developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24674,Facebook,Belgium,Western Europe,Western Europe,25-29,27.0,Male,Programmer; Hacker,System administrator,System administrator,1 - 2 years,1.5,"$10,000 - $20,000",15000.0,4.25,Arduino / Raspberry Pi; C#; Java; JavaScript; PHP; Python,Arduino / Raspberry Pi; C++; C#; Java; JavaScript; PHP; Python,Yes,7.0,Prefer not to disclose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25108,Facebook,Belgium,Western Europe,Western Europe,30-34,32.0,Male,Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$30,000 - $40,000",35000.0,4.25,JavaScript; LAMP; Python; WordPress,AngularJS; C; Java; JavaScript; LAMP,Yes,5.0,Employed full-time,Media / Advertising,"10,000+ employees",15-20 people,8,I rarely work remotely,I'm somewhat dissatisfied with my job,I knew I wanted to work here. I sought out the opportunity directly,Sublime; Vim,A few times a month,1-2 hours per week,Other (please specify),Mac OS X,Yes,2 - 100,Once a day,To keep my skills up to date,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)",I am actively looking for a new job,Salary; Ability to make or influence important decisions; Work/life balance; Opportunity for advancement; Job title; Office location; Quality of colleagues; Company culture; Company reputation; Flexible work hours,Taking time off work to interview,20%,Show me more live code; interview_coffee; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree completely,Disagree somewhat,Agree somewhat,Agree completely,Agree somewhat,Disagree somewhat,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,I don't care about this,I don't care about this,Inefficient development processes; Poor scheduling; Corporate policies; Non-technical management; Interacting with non-technical people; Interacting with stupid people,To get help for my job
25133,Facebook,Belgium,Western Europe,Western Europe,40-49,44.5,Male,Developer; Engineer; Manager,"Executive (VP of Eng., CTO, CIO, etc.)","Executive (VP of Eng., CTO, CIO, etc.)",11+ years,13.0,"$20,000 - $30,000",25000.0,4.25,C#,C#,Yes,7.0,Self-employed,Gaming,1-4 employees,1-4 people,1,I rarely work remotely,I love my job,Self-employed - I created my own job,Notepad++; Visual Studio,I never check-in or commit code,1-2 hours per week,Cats,Windows 10,I don't know,I'm not sure,Once a week,To build a specific product I have in mind,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),I am not interested in new job opportunities,Opportunity for advancement; Company culture; Building something that's significant,Writing cover letters,70%,Introduce me to the boss; Introduce me to the team; Show me the space in which I will work,Star Wars,Agree somewhat,Neutral,Agree completely,Agree completely,Neutral,Disagree completely,Agree completely,Agree completely,Neutral,Neutral,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,Interacting with non-technical people; Poor infrastructure or equipment; Limited resources,To receive help on my personal projects; Beacause I love to learn
25525,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Programmer; Ninja,Student,Student,1 - 2 years,1.5,,,4.25,Arduino / Raspberry Pi; AngularJS; C; C#; Clojure; JavaScript; Node.js,"AngularJS; C; Cordova; Clojure; Cloud (AWS, GAE, Azure, etc.); Hadoop; JavaScript; Node.js; ReactJS; Windows Phone",No,7.0,I'm a student,,,,,,,,Emacs; Notepad++; RubyMine; Visual Studio,Multiple times a day,10-20 hours per week,Cats,Windows 10,I don't know,101 - 500,Once a week,I want to be a better developer,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.A. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Company reputation,Writing my CV and keeping it updated,70%,Show me more live code; Introduce me to the boss; Show me the space in which I will work,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree somewhat,Disagree somewhat,,Agree completely,Disagree completely,Disagree completely,I don't care about this,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,I don't care about this,Poor documentation; Outdated technologies; Interacting with stupid people,To give help to others; whyso_onlinepresence; Beacause I love to learn
26759,Facebook,Belgium,Western Europe,Western Europe,25-29,27.0,Male,Developer; Programmer; Sr. Developer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"$40,000 - $50,000",45000.0,4.25,"C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; Redis; SQL; SQL Server","C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; Redis; SQL; SQL Server",Yes,8.0,Employed full-time,Software Products,20-99 employees,5-9 people,1,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Notepad++; Visual Studio; Visual Studio Code,Multiple times a day,None,Dogs,Windows 10,No,I don't have an account,Multiple times a day,I learn new technology when my job requires it,"On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field); B.A. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Company stage; Work/life balance; Office location; Company culture; Company reputation; Building something that's significant; Flexible work hours,Writing my CV and keeping it updated,20%,Offer remote interviews (e.g. via video conference),Star Wars,Agree somewhat,Agree somewhat,Agree completely,Neutral,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Neutral,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,Unrealistic expectations; Non-technical management; Changing requirements,To get help for my job; Beacause I love to learn
26941,Facebook,Belgium,Western Europe,Western Europe,25-29,27.0,Male,Developer; Programmer,Front-end web developer,Front-end web developer,2 - 5 years,3.5,"Less than $10,000",5000.0,4.25,C++; JavaScript; LAMP; PHP,C++; JavaScript; LAMP; Node.js; PHP,No,7.0,Freelance / Contractor,Internet,I am not part of a company,1-4 people,0,Full-time remote,I love my job,Self-employed - I created my own job,Sublime; PhpStorm,A couple times a week,20+ hours per week,Dogs,Windows 7,Yes,I don't have an account,Multiple times a day,I'm curious,I'm self-taught; Some college coursework in Computer Science (or related field),I am actively looking for a new job,Tech stack; Work/life balance; Building something that's significant,Searching for a job that seems interesting,Other (please specify),Show me more live code; Introduce me to the team; interview_coffee,Star Wars,Agree completely,Agree somewhat,Agree completely,Agree completely,Disagree completely,Disagree completely,Agree completely,Neutral,Neutral,Disagree completely,This is very important,This is somewhat important,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is very important,I don't care about this,I don't care about this,Poor scheduling; Changing requirements; Unspecific requirements,Beacause I love to learn
27068,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Developer; Engineer; Programmer,Student,Student,2 - 5 years,3.5,"$60,000 - $70,000",65000.0,4.25,"Android; C; C++; C#; CoffeeScript; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; Node.js; Objective-C; Ruby; SQL; SQL Server; Visual Basic",Android; iOS; PHP,No,3.0,I'm a student,,,,,,,,Notepad++; Android Studio; Eclipse; IntelliJ; NetBeans; RStudio; RubyMine; Visual Studio; Visual Studio Code,A couple times a week,None,Cats,Windows 8,Yes,I don't have an account,Multiple times a day,To pursue career goals,B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Health insurance; Job title,The interview process,30%,Introduce me to the boss; Introduce me to the team; Show me the space in which I will work,Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,Neutral,Agree somewhat,Agree somewhat,Neutral,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,Poor team dynamics; Poor scheduling; Poor documentation,Beacause I love to learn
27383,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Developer; Full-stack Developer,Student,Student,6 - 10 years,8.0,Rather not say,,4.25,Android; AngularJS; C#; Java; JavaScript; Node.js; Python; Scala; SQL,Haskell; ReactJS; Rust; Scala; Spark,No,7.0,I'm a student,,,,,,,,Atom; Vim; IntelliJ,Once a day,5-10 hours per week,Dogs,Debian,Yes,I'm not sure,Multiple times a day,I'm curious,I'm self-taught; B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Tech stack; Work/life balance; Company culture,Writing my CV and keeping it updated,10%,Show me more live code; Introduce me to the team; Fewer brainteasers,,,,,,,,,,,,,,,,,,,,,,,
27614,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Developer; Programmer,Student,Student,2 - 5 years,3.5,Unemployed,,4.25,"Android; AngularJS; Cassandra; Cloud (AWS, GAE, Azure, etc.); Hadoop; Java; JavaScript; Node.js; Python; Spark",Android; AngularJS; C#; Cordova; iOS; JavaScript; Node.js; Ruby; Windows Phone,No,8.0,I'm a student,,,,,,,,Atom; Notepad++; Vim; Android Studio; Eclipse; IntelliJ; NetBeans; PyCharm; Visual Studio,Multiple times a day,1-2 hours per week,Other (please specify),Windows 10,Yes,1,Once a day,I want to be a better developer,I'm self-taught; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Company size; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Company reputation; Building something that's significant; Building something that's innovative,Searching for a job that seems interesting,50%,Introduce me to the team; interview_coffee; Show me the space in which I will work,,Agree completely,Neutral,Agree somewhat,Agree somewhat,Agree completely,Disagree completely,Neutral,Agree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,I don't care about this,Poor documentation; Interacting with non-technical people; Interacting with stupid people,Because I can't do my job without it; To receive help on my personal projects; Beacause I love to learn
27748,Facebook,Belgium,Western Europe,Western Europe,35-39,37.0,Male,Developer; Engineer; Programmer; Sr. Developer; Manager; Ninja; Expert; Hacker,Analyst,Analyst,11+ years,13.0,"$110,000 - $120,000",115000.0,4.25,C#; iOS; Java; Objective-C; PHP; Python; SQL; SQL Server; Swift,iOS; Java; PHP; SQL; Swift,No,10.0,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27772,Facebook,Belgium,Western Europe,Western Europe,25-29,27.0,Male,Developer; Programmer; Full-stack Developer,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"$70,000 - $80,000",75000.0,4.25,AngularJS; Java; JavaScript; MongoDB; Node.js,"Android; AngularJS; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript",Yes,7.0,Freelance / Contractor,Manufacturing,"5,000-9,999 employees",10-14 people,0,Never,I'm somewhat dissatisfied with my job,Contacted by external recruiter,Notepad++; IntelliJ,Multiple times a day,5-10 hours per week,Other (please specify),Fedora,No,101 - 500,Once a day,To build a specific product I have in mind,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),I am actively looking for a new job,Tech stack; Quality of colleagues; Building something that's significant,Other (please specify),10%,Show me more live code; Introduce me to the team; Show me the space in which I will work,Star Trek,Neutral,Agree completely,Agree completely,Agree completely,Disagree completely,Disagree completely,Neutral,Agree completely,Agree completely,Disagree completely,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,I don't care about this,This is somewhat important,I don't care about this,I don't care about this,Inefficient development processes; Fragile code base; Poor scheduling; Unrealistic expectations; Outdated technologies; Changing requirements; Unspecific requirements,To get help for my job; To receive help on my personal projects
27787,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Developer; Programmer,Desktop developer,Desktop developer,2 - 5 years,3.5,"$20,000 - $30,000",25000.0,4.25,C#; PHP; SQL Server; WordPress,C#; WordPress,No,7.0,Employed full-time,Consulting,100-499 employees,5-9 people,0,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Visual Studio,Multiple times a day,5-10 hours per week,Dogs,Windows 7,Yes,101 - 500,Multiple times a day,To keep my skills up to date,"I'm self-taught; On-the-job training; Full-time, intensive program (e.g. ""boot-camp""); B.A. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Industry; Tech stack; Company size; Company financials; Work/life balance; Opportunity for advancement; Quality of colleagues; Company reputation; Building something that's significant; Remote working option; Flexible work hours; Building something that's innovative,,10%,Show me more live code; Introduce me to the team; interview_coffee; Show me the space in which I will work,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Disagree completely,Neutral,Neutral,Agree somewhat,Agree completely,Disagree completely,This is very important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,Fragile code base; Poor documentation; Corporate policies; Outdated technologies; Non-technical management; Changing requirements,To get help for my job; To give help to others; whyso_onlinepresence; Beacause I love to learn
27805,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Developer; Programmer; Ninja,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$20,000 - $30,000",25000.0,4.25,Java; SQL,Android; AngularJS; Java; Node.js; SQL,Yes,5.0,Employed full-time,Software Products,20-99 employees,15-20 people,6,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by external recruiter,Notepad++; Eclipse,Multiple times a day,1-2 hours per week,Dogs,Windows 10,Yes,"1,001 - 5,000",Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),I am not interested in new job opportunities,Office location; Quality of colleagues; Flexible work hours,Taking time off work to interview,10%,interview_coffee; Show me the space in which I will work,Star Wars,Neutral,Neutral,Agree completely,Agree somewhat,Agree somewhat,Disagree completely,Neutral,Disagree completely,Neutral,Disagree completely,I don't care about this,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,Changing requirements; Unspecific requirements,To get help for my job; To give help to others
27841,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Programmer; Ninja,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27870,Facebook,Belgium,Western Europe,Western Europe,,,Male,Developer; Programmer,Student,Student,1 - 2 years,1.5,Unemployed,,4.25,JavaScript; PHP; SQL,JavaScript; Node.js; PHP,No,8.0,I'm a student,,,,,,,,Atom; Sublime; PhpStorm,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",5-10 hours per week,Other (please specify),Windows 10,I don't know,I'm not sure,Once a week,To build a specific product I have in mind,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Company size; Work/life balance; Job title; Company culture; Flexible work hours,Finding time to search for a job,50%,Show me more live code; Offer remote interviews (e.g. via video conference),Star Wars,Agree completely,Agree somewhat,Agree somewhat,Neutral,Agree completely,Disagree completely,Neutral,Agree completely,Agree somewhat,Disagree somewhat,This is very important,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,Fragile code base; Changing requirements; Limited resources; Trying to be nice,To get help for my job; To communicate with others like me
27951,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Developer; Engineer; Programmer; Rockstar; Ninja; Full-stack Developer; Hacker,Back-end web developer,Back-end web developer,2 - 5 years,3.5,Rather not say,,4.25,C#; Go; Java; JavaScript; MongoDB; Node.js; Redis; SQL; SQL Server,C#; Cassandra; Go; JavaScript; MongoDB; Node.js,Yes,,Employed full-time,Government,20-99 employees,1-4 people,0,I rarely work remotely,I love my job,Other,Notepad++; Sublime; Visual Studio,Multiple times a day,5-10 hours per week,Dogs,Windows 10,Other (please specify),101 - 500,Multiple times a day,I'm curious,B.A. in Computer Science (or related field); B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Health insurance; Tech stack; Work/life balance; Opportunity for advancement; Office location; Company culture; Remote working option; Building something that's innovative,Taking time off work to interview,20%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Show me the space in which I will work,,Agree completely,Agree somewhat,Agree completely,Neutral,Agree somewhat,Disagree completely,Agree completely,Agree somewhat,Agree somewhat,Agree somewhat,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,Changing requirements; Unspecific requirements,To get help for my job; To give help to others; Because I can't do my job without it; To communicate with others like me; Beacause I love to learn
28006,Facebook,Belgium,Western Europe,Western Europe,< 20,16.0,Male,Developer; Programmer,Back-end web developer,Back-end web developer,1 - 2 years,1.5,"Less than $10,000",5000.0,4.25,AngularJS; C#; Java; JavaScript; PHP; Ruby; SQL; SQL Server; Visual Basic; WordPress,Android; JavaScript; Node.js; ReactJS,No,8.0,I'm a student,,,,,,,,Eclipse; PhpStorm; Visual Studio,I never check-in or commit code,10-20 hours per week,Dogs,Windows 10,I don't know,2 - 100,Once a month,To keep my skills up to date,"I'm self-taught; Mentorship program (e.g. Flatiron School, GDI, etc.)",I am not interested in new job opportunities,Job title,Finding an open job that I'm qualified for,50%,Show me more live code; Introduce me to the boss; Introduce me to the team; Show me the space in which I will work; Prepare me for who I will be speaking with,Star Wars,,,,,,,,,,,,,,,,,,,,,,
28137,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Developer; Programmer; Rockstar,Student,Student,2 - 5 years,3.5,"Less than $10,000",5000.0,4.25,C++; Haskell; Java; JavaScript; Node.js; Visual Basic,Haskell; JavaScript,Yes,8.0,I'm a student,,,,,,,,Atom; Sublime,Once a day,2-5 hours per week,Dogs,Mac OS X,Yes,I don't have an account,Multiple times a day,I want to be a better developer,B.S. in Computer Science (or related field),I am not interested in new job opportunities,Work/life balance; Company culture; Building something that's innovative,Interesting companies rarely respond to me,0%,Show me the space in which I will work,Star Wars,Neutral,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,Neutral,Agree somewhat,Disagree completely,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,Non-technical management; Interacting with non-technical people; Interacting with stupid people,To get help for my job; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
28213,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Programmer; Ninja,Student,Student,1 - 2 years,1.5,"$10,000 - $20,000",15000.0,4.25,C#; Java; Visual Basic; Windows Phone,Arduino / Raspberry Pi; C#; SharePoint; SQL; Windows Phone,No,5.0,Employed full-time,Foundation / Non-Profit,100-499 employees,1-4 people,0,Never,I'm somewhat satisfied with my job,A friend referred me,Notepad++; Visual Studio; Visual Studio Code,I never check-in or commit code,2-5 hours per week,Cats,Windows 10,Yes,I don't have an account,Multiple times a day,To build a specific product I have in mind,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field); B.A. in Computer Science (or related field)",I am not interested in new job opportunities,Salary; Company size; Quality of colleagues; Company culture; Company reputation; Remote working option; Flexible work hours,The interview process,60%,Introduce me to the boss; Introduce me to the team; Show me the space in which I will work,,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree completely,Disagree completely,Agree somewhat,Agree completely,Disagree completely,Agree somewhat,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,Poor scheduling; Unrealistic expectations; Corporate policies,To receive help on my personal projects; Beacause I love to learn
28228,Facebook,Belgium,Western Europe,Western Europe,30-34,32.0,Male,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$100,000 - $110,000",105000.0,4.25,Java; JavaScript; SQL,Clojure; Go; Node.js; Python; ReactJS; Ruby; Scala,Other (please specify),8.0,Freelance / Contractor,Consulting,1-4 employees,5-9 people,1,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Notepad++; Sublime; Eclipse; IntelliJ,A couple times a week,5-10 hours per week,Dogs,Windows 8,Other (please specify),2 - 100,Multiple times a day,To keep my skills up to date,Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Flexible work hours,Writing my CV and keeping it updated,30%,Fewer brainteasers,Star Wars,Neutral,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree completely,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is very important,This is somewhat important,I don't care about this,This is somewhat important,I don't care about this,Fragile code base; Poor documentation; Outdated technologies,To get help for my job; To give help to others; whyso_onlinepresence; To communicate with others like me; To receive help on my personal projects
28414,Facebook,Belgium,Western Europe,Western Europe,20-24,22.0,Male,Developer,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28985,Facebook,Belgium,Western Europe,Western Europe,30-34,32.0,Male,Developer; Programmer,Enterprise level services developer,Enterprise level services developer,2 - 5 years,3.5,"$60,000 - $70,000",65000.0,4.25,,,No,6.0,Employed full-time,Consulting,20-99 employees,5-9 people,0,Part-time remote,I'm somewhat satisfied with my job,Career fair,Eclipse,A few times a month,5-10 hours per week,Cats,Windows 7,Other (please specify),I don't have an account,Once a week,I want to be a better developer,"I'm self-taught; On-the-job training; Part-time program (e.g. night school); Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Industry certification program; B.A. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Office location; Quality of colleagues; Company culture; Building something that's significant; Flexible work hours,Writing my CV and keeping it updated,30%,Be more flexible about interview scheduling; Introduce me to the boss; Introduce me to the team; interview_coffee; Show me the space in which I will work,Star Wars,Neutral,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Neutral,Agree somewhat,Agree completely,Disagree completely,This is very important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is very important,I don't care about this,This is very important,,This is somewhat important,Unrealistic expectations; Corporate policies; Non-technical management; Interacting with non-technical people; Interacting with stupid people; Changing requirements,To get help for my job; Beacause I love to learn
